C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-46.5,-45.0,-48.0,-50.0,-55.75,-55.0,-57.5,-59.75,0
-45.75,-45.2,-46.25,-51.0,-55.4,-54.6,-58.0,-58.2,0
-45.6,-45.8,-46.0,-51.4,-56.0,-55.6,-58.2,-58.0,0
-46.8,-45.8,-47.6,-47.6,-57.0,-55.6,-57.6,-58.2,0
-45.6,-46.0,-49.0,-49.8,-57.0,-55.2,-56.8,-57.4,0
-45.6,-48.6,-54.0,-55.0,-54.0,-54.8,-51.6,-62.2,0
-45.0,-50.0,-55.0,-54.5,-53.8,-54.6,-51.8,-62.4,0
,,,-55.5,-53.4,-54.2,-52.2,-61.8,0
-46.0,-49.0,-57.0,-55.0,-53.25,-54.2,-52.0,-62.6,0
-45.5,-49.333333333333336,-57.333333333333336,-56.666666666666664,-53.75,-55.0,-51.0,-61.8,0
-47.5,-51.0,-55.0,-57.0,-53.4,-56.2,-52.0,-61.2,0
-47.0,-48.5,-55.8,-55.5,-53.2,-55.0,-52.6,-61.8,0
-46.0,-48.4,-55.5,-56.0,-53.8,-54.2,-52.8,-62.0,0
-45.6,-48.0,-57.666666666666664,-57.5,-54.2,-55.8,-53.4,-62.4,0
-44.75,-47.5,-55.0,-54.75,-54.0,-56.0,-53.0,-62.4,0
-46.0,-46.6,-55.25,-55.4,-53.8,-56.6,-53.6,-62.4,0
-47.5,-48.0,-55.0,-54.666666666666664,-53.4,-56.4,-53.0,-63.0,0
-45.6,-47.0,-55.0,-54.333333333333336,-54.0,-57.2,-53.2,-62.4,0
-44.5,-47.333333333333336,-54.75,-55.0,-54.2,-55.2,-52.2,-62.6,0
-46.2,-47.666666666666664,-57.5,-54.333333333333336,-54.2,-55.8,-53.0,-62.2,0
-44.8,-47.333333333333336,-54.0,-54.333333333333336,-54.6,-56.2,-53.4,-62.2,0
-45.6,-47.25,-54.25,-54.75,-54.2,-56.6,-53.0,-62.6,0
-45.75,-47.25,-54.5,-54.5,-54.2,-56.6,-53.0,-62.2,0
-46.75,-47.75,-54.0,-54.5,-53.8,-56.2,-53.0,-61.8,0
