C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-52.2,-53.3,-57.1,-55.4,,-64.77777777777777,-63.44444444444444,-47.1,0
-52.44444444444444,-53.1,-57.8,-54.4,-59.666666666666664,-66.55555555555556,-63.77777777777778,-44.875,0
-50.44444444444444,-52.4,-57.0,-54.2,-59.25,-66.44444444444444,-64.0,-44.77777777777778,0
-51.4,-51.8,-57.333333333333336,-54.4,-59.0,-65.5,-64.5,-44.666666666666664,0
-52.75,-52.8,-57.6,-54.7,-59.5,-66.77777777777777,-64.0,-44.6,0
-51.9,-52.5,-57.7,-54.0,,-67.7,-63.8,-44.42857142857143,0
-52.125,-53.1,-57.3,-53.5,-59.0,-67.8,-64.0,-45.375,0
-52.7,-52.1,-57.2,-52.8,-59.0,-65.1,-64.0,-46.75,0
-51.25,-52.2,-57.1,-52.4,-59.0,-65.4,-64.0,-45.55555555555556,0
-51.3,-53.3,-57.5,-52.0,-58.5,-66.1,-63.9,-45.7,0
-51.6,-52.7,-57.5,-52.7,-59.0,-66.9,-63.8,-46.55555555555556,0
-52.0,-52.77777777777778,-57.22222222222222,-53.22222222222222,-59.0,-65.375,-64.375,-44.55555555555556,0
-52.111111111111114,-52.8,-57.4,-52.6,-59.0,-66.3,-64.5,-45.77777777777778,0
-51.44444444444444,-52.0,-57.3,-52.8,-58.666666666666664,-66.3,-64.5,-45.5,0
-51.5,-52.7,-57.0,-53.0,-59.5,-66.1,-64.1,-47.55555555555556,0
-51.333333333333336,-54.1,-57.0,-53.0,,-65.7,-64.6,-44.6,0
-52.75,-54.1,-57.0,-53.1,,-65.2,-64.5,-46.111111111111114,0
-51.333333333333336,-53.3,-56.7,-53.1,-59.5,-65.1,-64.6,-47.333333333333336,0
-51.111111111111114,-52.2,-57.1,-51.8,-59.0,-64.9,-64.0,-45.22222222222222,0
-50.1,-55.9,-57.0,-52.1,-60.0,-65.1,-64.1,-45.375,0
-51.3,-53.1,-57.1,-51.2,,-64.7,-63.9,-46.1,0
-52.888888888888886,-54.1,-57.1,-53.3,,-64.7,-64.4,-45.0,0
-51.77777777777778,-54.1,-56.8,-53.4,-59.0,-65.8,-64.4,-45.6,0
-50.875,-53.9,-57.1,-52.9,-59.666666666666664,-65.0,-63.666666666666664,-44.44444444444444,0
-51.25,-53.6,-57.0,-52.1,-59.0,-65.5,-63.6,-45.333333333333336,0
-50.44444444444444,-54.1,-57.4,-52.1,-59.0,-65.8,-64.77777777777777,-45.111111111111114,0
-50.4,-53.4,-57.3,-52.4,,-66.6,-63.6,-44.2,0
-51.111111111111114,-54.3,-57.1,-53.3,-60.0,-66.1,-64.4,-44.9,0
-51.75,-52.1,-57.2,-53.1,-59.0,-66.2,-63.8,-46.3,0
-50.4,-51.2,-57.2,-53.3,-59.0,-65.2,-64.22222222222223,-45.666666666666664,0
-51.0,-51.6,-57.3,-53.6,-59.0,-65.0,-63.8,-44.8,0
-50.6,-52.5,-57.0,-53.3,,-65.6,-63.4,-44.77777777777778,0
-51.333333333333336,-52.3,-57.1,-53.1,-59.5,-65.8,-63.4,-45.42857142857143,0
-50.8,-51.9,-56.7,-53.3,-59.333333333333336,-65.4,-63.6,-44.9,0
-50.333333333333336,-53.3,-56.9,-54.4,-59.0,-65.5,-63.9,-45.2,0
-51.2,-51.8,-57.1,-54.5,-59.0,-66.2,-64.7,-46.55555555555556,0
-50.3,-51.2,-56.9,-53.2,-59.0,-65.5,-64.1,-45.22222222222222,0
-50.625,-51.8,-56.9,-53.2,-59.5,-64.8,-64.5,-46.333333333333336,0
-49.888888888888886,-52.7,-57.4,-52.5,-59.5,-65.7,-64.33333333333333,-45.0,0
-50.8,-51.3,-57.111111111111114,-53.7,-59.5,-66.1,-64.6,-45.22222222222222,0
-50.55555555555556,-52.1,-57.2,-52.9,-59.333333333333336,-66.0,-64.2,-46.22222222222222,0
-50.333333333333336,-51.2,-57.2,-53.9,-59.5,-66.9,-64.22222222222223,-44.3,0
-51.77777777777778,-52.0,-57.0,-53.9,-60.0,-65.2,-64.1,-44.375,0
-50.5,-52.3,-57.1,-53.9,-59.5,-65.6,-64.2,-46.5,0
-51.55555555555556,-51.4,-57.3,-53.1,-59.0,-65.2,-64.0,-44.77777777777778,0
-51.5,-51.2,-57.4,-52.8,-59.0,-65.9,-64.0,-44.6,0
-51.8,-50.2,-57.3,-53.1,,-65.7,-64.0,-44.75,0
-51.3,-51.0,-57.4,-53.3,-59.6,-65.4,-64.2,-45.55555555555556,0
-50.77777777777778,-51.4,-57.1,-53.6,-60.0,-65.8,-64.4,-45.22222222222222,0
-51.0,-51.9,-57.0,-53.1,-59.0,-65.7,-64.33333333333333,-45.6,0
-53.55555555555556,-51.3,-57.0,-53.0,-60.0,-66.4,-64.3,-44.75,0
-52.0,-51.8,-57.2,-53.3,-60.0,-66.1,-63.9,-45.5,0
-51.7,-52.1,-57.1,-52.7,-60.0,-66.3,-64.2,-45.9,0
-52.0,-52.0,-56.8,-52.9,-60.0,-65.77777777777777,-64.77777777777777,-45.375,0
-52.111111111111114,-53.0,-57.2,-53.3,-59.75,-65.6,-64.7,-44.625,0
-42.22222222222222,-41.8,-48.8,-54.4,-57.0,-64.8,-52.6,-47.25,1
-43.625,-41.7,-48.2,-54.0,-57.0,-62.4,-53.0,-47.6,1
-43.625,-43.4,-47.6,-54.4,-56.0,-62.0,-52.9,-47.111111111111114,1
-43.0,-42.5,-47.8,-54.7,-56.0,-62.111111111111114,-53.1,-50.1,1
-43.7,-42.3,-48.0,-54.8,-56.333333333333336,-62.7,-53.1,-47.333333333333336,1
-42.44444444444444,-42.2,-48.2,-53.1,-55.666666666666664,-63.8,-53.3,-47.9,1
-42.111111111111114,-42.6,-47.888888888888886,-55.0,-56.0,-62.3,-53.0,-47.75,1
-44.57142857142857,-42.333333333333336,-47.888888888888886,-55.666666666666664,-57.0,-61.22222222222222,-53.0,-47.625,1
-43.0,-42.6,-48.0,-55.8,-56.0,-61.0,-53.0,-47.22222222222222,1
-43.333333333333336,-42.9,-48.0,-55.4,-57.0,-61.3,-53.0,-47.25,1
-43.57142857142857,-42.1,-47.8,-55.9,,-61.1,-53.0,-46.888888888888886,1
-42.333333333333336,-42.4,-47.9,-55.6,-56.5,-61.0,-52.8,-47.111111111111114,1
-42.142857142857146,-43.0,-47.9,-55.4,-57.0,-61.0,-52.9,-46.666666666666664,1
-41.2,-41.3,-47.5,-55.9,-57.4,-61.111111111111114,-53.0,-48.0,1
-42.75,-41.4,-47.9,-55.5,-57.0,-61.0,-53.0,-48.22222222222222,1
-44.3,-43.7,-47.666666666666664,-55.3,-57.666666666666664,-60.9,-52.8,-47.625,1
-44.57142857142857,-44.4,-48.0,-55.6,,-61.0,-53.0,-47.8,1
-46.125,-44.9,-47.8,-55.4,-57.0,-61.0,-52.6,-47.44444444444444,1
-45.3,-44.8,-48.0,-55.2,-58.0,-60.9,-53.0,-50.0,1
-45.375,-44.7,-48.3,-55.6,-57.333333333333336,-62.3,-53.0,-47.0,1
-46.285714285714285,-44.2,-47.9,-55.1,,-61.0,-53.0,-47.4,1
-45.3,-44.5,-48.0,-55.0,,-61.0,-53.0,-47.75,1
-44.9,-44.9,-48.0,-55.1,-58.0,-61.0,-53.0,-47.77777777777778,1
-45.0,-44.5,-48.0,-55.1,-58.0,-61.0,-53.0,-48.0,1
-45.75,-44.6,-48.0,-55.1,-59.0,-61.0,-52.9,-47.7,1
-46.25,-45.1,-48.0,-55.2,-58.0,-61.0,-53.0,-47.4,1
-46.0,-45.5,-48.0,-55.2,-57.6,-61.0,-52.7,-47.3,1
-45.2,-45.2,-47.8,-55.375,,-61.0,-52.9,-47.22222222222222,1
-45.1,-44.6,-47.9,-55.2,-58.0,-61.0,-52.6,-47.22222222222222,1
-45.125,-44.9,-48.1,-55.0,-57.0,-61.0,-53.1,-49.55555555555556,1
-44.3,-44.3,-48.0,-54.7,-57.0,-61.0,-53.0,-49.0,1
-43.5,-43.2,-48.5,-55.8,-55.666666666666664,-63.4,-52.7,-47.166666666666664,1
-44.888888888888886,-43.6,-48.1,-55.1,-56.666666666666664,-61.0,-52.9,-47.8,1
-43.285714285714285,-42.9,-48.0,-55.1,,-61.1,-52.7,-47.5,1
-43.333333333333336,-43.6,-48.0,-55.1,-56.0,-61.0,-53.0,-47.714285714285715,1
-43.7,-43.4,-48.0,-55.111111111111114,-56.0,-61.0,-52.77777777777778,-47.75,1
