C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-46.28571428571429,-45.125,-47.14285714285714,-49.28571428571429,-55.5,-54.85714285714285,-57.75,-59.125,0
-46.0,-45.88888888888889,-46.555555555555564,-51.0,-56.375,-55.444444444444436,-58.111111111111114,-57.88888888888889,0
-45.88888888888889,-46.375,-49.555555555555564,-49.625,-56.22222222222222,-54.88888888888889,-55.77777777777778,-58.77777777777778,0
-45.2,-49.2,-55.66666666666666,-55.33333333333334,-54.0,-55.0,-51.66666666666666,-62.22222222222222,0
-46.0,-49.0,-57.0,-55.33333333333334,-53.25,-54.111111111111114,-52.111111111111114,-62.22222222222222,0
-46.33333333333334,-49.5,-56.75,-56.75,-53.5,-55.444444444444436,-51.444444444444436,-61.444444444444436,0
-46.555555555555564,-49.0,-55.42857142857143,-55.2,-53.66666666666666,-54.66666666666666,-52.555555555555564,-61.88888888888889,0
-45.555555555555564,-48.0,-56.66666666666666,-56.5,-53.88888888888889,-55.66666666666666,-53.111111111111114,-62.33333333333334,0
-46.625,-47.0,-55.14285714285714,-55.14285714285714,-53.88888888888889,-56.444444444444436,-53.444444444444436,-62.444444444444436,0
-45.625,-47.5,-55.0,-54.5,-53.66666666666666,-56.88888888888889,-53.111111111111114,-62.66666666666666,0
-45.5,-47.5,-56.42857142857143,-54.5,-54.22222222222222,-55.555555555555564,-52.555555555555564,-62.33333333333334,0
-45.0,-47.4,-54.2,-54.4,-54.444444444444436,-56.22222222222222,-53.22222222222222,-62.444444444444436,0
-45.75,-47.125,-54.2,-54.66666666666666,-54.111111111111114,-56.444444444444436,-53.0,-62.111111111111114,0
-46.375,-47.714285714285715,-54.4,-54.6,-53.88888888888889,-56.33333333333334,-52.88888888888889,-62.0,0
-46.75,-46.57142857142857,-55.0,-55.33333333333334,-54.0,-54.66666666666666,-52.555555555555564,-62.0,0
-45.111111111111114,-47.57142857142857,-55.5,-56.0,-54.0,-55.22222222222222,-52.77777777777778,-62.22222222222222,0
-46.28571428571429,-47.16666666666666,-56.33333333333334,-58.5,-54.88888888888889,-56.111111111111114,-53.77777777777778,-62.22222222222222,0
-47.0,-47.0,-55.75,-55.88888888888889,-54.22222222222222,-54.88888888888889,-53.111111111111114,-61.22222222222222,0
-46.25,-46.66666666666666,-55.42857142857143,-55.8,-54.5,-55.555555555555564,-53.22222222222222,-61.5,0
-45.625,-48.0,-54.25,-54.66666666666666,-54.444444444444436,-55.22222222222222,-53.77777777777778,-62.66666666666666,0
-46.33333333333334,-47.2,-55.66666666666666,-56.25,-54.33333333333334,-55.444444444444436,-53.66666666666666,-62.22222222222222,0
-44.625,-47.5,-55.75,-55.4,-53.555555555555564,-55.111111111111114,-53.444444444444436,-62.66666666666666,0
-44.75,-47.75,-57.5,-54.5,-53.88888888888889,-55.66666666666666,-53.33333333333334,-61.88888888888889,0
-45.875,-46.85714285714285,-55.16666666666666,-54.66666666666666,-54.22222222222222,-55.66666666666666,-51.444444444444436,-62.444444444444436,0
-44.75,-47.8,-57.57142857142857,-56.6,-54.444444444444436,-55.555555555555564,-52.88888888888889,-62.33333333333334,0
-45.77777777777778,-47.16666666666666,-55.66666666666666,-55.0,-54.22222222222222,-55.22222222222222,-52.555555555555564,-62.875,0
-46.111111111111114,-47.0,-56.5,-54.33333333333334,-54.66666666666666,-55.5,-52.88888888888889,-63.0,0
-46.8,-48.0,-54.42857142857143,-54.8,-54.33333333333334,-56.66666666666666,-52.33333333333334,-61.88888888888889,0
-47.0,-47.875,-54.2,-55.16666666666666,-54.33333333333334,-55.66666666666666,-52.555555555555564,-62.111111111111114,0
-46.25,-47.33333333333334,-54.0,-54.6,-53.33333333333334,-54.555555555555564,-53.111111111111114,-62.66666666666666,0
-44.714285714285715,-47.16666666666666,-55.0,-55.0,-53.444444444444436,-54.444444444444436,-53.0,-62.444444444444436,0
-45.88888888888889,-48.4,-54.75,-54.66666666666666,-54.22222222222222,-54.33333333333334,-52.0,-60.444444444444436,0
-44.66666666666666,-48.16666666666666,-55.75,-55.5,-54.111111111111114,-54.22222222222222,-51.33333333333334,-61.66666666666666,0
-48.0,-47.83333333333334,-56.16666666666666,-56.0,-54.0,-54.111111111111114,-51.111111111111114,-62.111111111111114,0
-46.57142857142857,-47.5,-55.5,-55.0,-54.111111111111114,-54.77777777777778,-50.66666666666666,-62.77777777777778,0
-45.0,-47.375,-55.14285714285714,-55.33333333333334,-53.66666666666666,-55.111111111111114,-52.0,-62.22222222222222,0
-46.42857142857143,-47.8,-54.5,-54.4,-54.33333333333334,-55.66666666666666,-53.22222222222222,-62.22222222222222,0
-45.555555555555564,-48.25,-54.33333333333334,-55.0,-54.33333333333334,-55.66666666666666,-53.111111111111114,-62.555555555555564,0
-47.625,-47.625,-54.0,-54.0,-54.88888888888889,-55.111111111111114,-53.33333333333334,-61.77777777777778,0
-45.875,-48.33333333333334,-56.66666666666666,-56.66666666666666,-55.33333333333334,-54.555555555555564,-53.22222222222222,-62.22222222222222,0
-50.625,-47.0,-54.875,-53.625,-54.66666666666666,-53.33333333333334,-52.444444444444436,-62.555555555555564,0
-49.85714285714285,-48.0,-52.75,-54.5,-53.88888888888889,-54.111111111111114,-52.88888888888889,-62.22222222222222,0
-45.88888888888889,-46.14285714285714,-55.0,-54.714285714285715,-54.33333333333334,-53.77777777777778,-52.22222222222222,-62.111111111111114,0
-47.125,-46.125,-55.0,-54.66666666666666,-54.33333333333334,-53.66666666666666,-52.0,-62.0,0
-45.375,-46.85714285714285,-54.4,-55.0,-54.22222222222222,-53.555555555555564,-52.0,-62.0,0
-45.25,-46.25,-54.8,-54.66666666666666,-54.22222222222222,-53.66666666666666,-52.0,-62.0,0
-46.5,-48.33333333333334,-54.75,-54.33333333333334,-54.25,-53.5,-52.0,-62.0,0
-45.16666666666666,-46.0,-54.42857142857143,-54.6,-54.22222222222222,-53.444444444444436,-52.0,-62.0,0
-46.85714285714285,-45.42857142857143,-54.25,-54.33333333333334,-54.125,-53.625,-52.0,-61.75,0
-45.444444444444436,-45.6,-56.0,-56.0,-54.33333333333334,-53.77777777777778,-52.111111111111114,-61.88888888888889,0
-44.375,-44.125,-45.375,-45.16666666666666,-49.66666666666666,-52.0,-55.0,-57.33333333333334,1
-44.33333333333334,-44.375,-45.66666666666666,-45.42857142857143,-49.555555555555564,-52.0,-55.0,-57.555555555555564,1
-46.6,-43.83333333333334,-46.0,-45.5,-49.88888888888889,-52.0,-55.0,-57.444444444444436,1
-44.5,-44.14285714285715,-46.0,-45.4,-49.77777777777778,-52.0,-55.0,-57.5,1
-44.0,-44.444444444444436,-45.83333333333334,-44.0,-49.66666666666666,-52.0,-54.66666666666666,-57.33333333333334,1
-44.4,-44.14285714285715,-44.33333333333334,-46.0,-49.25,-52.0,-54.0,-57.375,1
-44.28571428571429,-44.0,-45.0,-45.66666666666666,-49.88888888888889,-52.0,-55.0,-57.22222222222222,1
-44.25,-43.88888888888889,-45.0,-46.0,-49.77777777777778,-51.88888888888889,-55.0,-57.33333333333334,1
-44.16666666666666,-44.0,-46.0,-45.16666666666666,-49.75,-52.0,-55.0,-57.125,1
-44.0,-44.125,-45.8,-42.8,-49.66666666666666,-51.77777777777778,-55.0,-57.444444444444436,1
-44.0,-44.25,-44.8,-45.66666666666666,-49.88888888888889,-51.66666666666666,,-57.33333333333334,1
-44.0,-44.111111111111114,-44.75,-44.0,-49.444444444444436,-51.88888888888889,-54.66666666666666,-57.33333333333334,1
-44.0,-44.0,-44.625,-45.25,-49.444444444444436,-52.0,-55.0,-57.22222222222222,1
-44.14285714285715,-44.0,-42.66666666666666,-45.42857142857143,-49.33333333333334,-52.0,-54.5,-57.22222222222222,1
-44.33333333333334,-44.0,-44.4,-45.0,-49.555555555555564,-52.0,-55.0,-57.33333333333334,1
-44.16666666666666,-44.375,-44.0,-45.625,-49.444444444444436,-51.444444444444436,,-57.22222222222222,1
-45.83333333333334,-43.85714285714285,-44.14285714285715,-45.875,-49.33333333333334,-51.66666666666666,,-57.555555555555564,1
-44.2,-43.83333333333334,-42.8,-45.16666666666666,-49.625,-51.75,,-57.111111111111114,1
-45.6,-45.0,-45.66666666666666,-46.6,-49.77777777777778,-51.77777777777778,,-57.444444444444436,1
-44.28571428571429,-44.0,-44.2,-45.5,-49.33333333333334,-51.77777777777778,,-57.444444444444436,1
-44.25,-44.0,-46.0,-45.33333333333334,-49.77777777777778,-51.77777777777778,-55.0,-57.625,1
-44.5,-44.125,-43.8,-44.66666666666666,-49.555555555555564,-51.77777777777778,-54.5,-57.66666666666666,1
-44.5,-44.125,-43.28571428571429,-46.0,-49.57142857142857,-51.75,-55.0,-57.444444444444436,1
-46.57142857142857,-43.77777777777778,-44.33333333333334,-46.0,-49.444444444444436,-51.555555555555564,,-57.66666666666666,1
-47.0,-44.0,-43.2,-46.16666666666666,-49.444444444444436,-51.555555555555564,,-57.66666666666666,1
-44.714285714285715,-44.125,-44.0,-46.28571428571429,-49.555555555555564,-51.77777777777778,-54.5,-57.444444444444436,1
-44.375,-44.0,-45.0,-44.75,-49.625,-51.66666666666666,-55.0,-57.66666666666666,1
-44.33333333333334,-44.28571428571429,-45.875,-44.83333333333334,-49.33333333333334,-51.77777777777778,-54.5,-57.444444444444436,1
-45.25,-44.0,-45.0,-44.25,-49.33333333333334,-51.77777777777778,,-57.33333333333334,1
-44.33333333333334,-44.5,-45.5,-44.33333333333334,-49.77777777777778,-51.77777777777778,-55.0,-57.22222222222222,1
