SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER-guest,C0-56-27-18-69-66,802.11n,-57,80,80.0,2.437,6,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,80,80
WLANMTSU,D8-84-66-13-10-00,802.11ac,-57,80,80.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:36 PM,80,80
WLANMTSU,D8-84-66-12-51-60,802.11ac,-64,68,68.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,68,68
FADER,C0-56-27-18-69-65,802.11n,-66,64,64.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,64,64
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-71,38,38.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,38,38
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-75,30,30.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,30,30
WLANMTSU,D8-84-66-13-09-E8,802.11n,-78,24,24.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,24,24
WLANMTSU,D8-84-66-12-E3-48,802.11n,-78,24,24.0,2.437,6,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,24,24
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-79,22,22.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,22,22
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-80,20,20.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,20,20
WLANMTSU,D8-84-66-12-E3-E8,802.11n,-81,18,18.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,18,18
WLANMTSU,D8-84-66-12-81-B8,802.11n,-81,18,18.0,2.437,6,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,18,18
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-81,18,18.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,18,18
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-86,8,8.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 8:06:36 PM,3/14/2019 8:06:36 PM,1,3/14/2019 8:06:33 PM,8,8
