C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-46.285714285714285,-45.125,-47.142857142857146,-49.285714285714285,-55.5,-54.857142857142854,-57.75,-59.125,0
-46.0,-45.888888888888886,-46.55555555555556,-51.0,-56.375,-55.44444444444444,-58.111111111111114,-57.888888888888886,0
-45.888888888888886,-46.375,-49.55555555555556,-49.625,-56.22222222222222,-54.888888888888886,-55.77777777777778,-58.77777777777778,0
-45.2,-49.2,-55.666666666666664,-55.333333333333336,-54.0,-55.0,-51.666666666666664,-62.22222222222222,0
-46.0,-49.0,-57.0,-55.333333333333336,-53.25,-54.111111111111114,-52.111111111111114,-62.22222222222222,0
-46.333333333333336,-49.5,-56.75,-56.75,-53.5,-55.44444444444444,-51.44444444444444,-61.44444444444444,0
-46.55555555555556,-49.0,-55.42857142857143,-55.2,-53.666666666666664,-54.666666666666664,-52.55555555555556,-61.888888888888886,0
-45.55555555555556,-48.0,-56.666666666666664,-56.5,-53.888888888888886,-55.666666666666664,-53.111111111111114,-62.333333333333336,0
-46.625,-47.0,-55.142857142857146,-55.142857142857146,-53.888888888888886,-56.44444444444444,-53.44444444444444,-62.44444444444444,0
-45.625,-47.5,-55.0,-54.5,-53.666666666666664,-56.888888888888886,-53.111111111111114,-62.666666666666664,0
-45.5,-47.5,-56.42857142857143,-54.5,-54.22222222222222,-55.55555555555556,-52.55555555555556,-62.333333333333336,0
-45.0,-47.4,-54.2,-54.4,-54.44444444444444,-56.22222222222222,-53.22222222222222,-62.44444444444444,0
-45.75,-47.125,-54.2,-54.666666666666664,-54.111111111111114,-56.44444444444444,-53.0,-62.111111111111114,0
-46.375,-47.714285714285715,-54.4,-54.6,-53.888888888888886,-56.333333333333336,-52.888888888888886,-62.0,0
-46.75,-46.57142857142857,-55.0,-55.333333333333336,-54.0,-54.666666666666664,-52.55555555555556,-62.0,0
-45.111111111111114,-47.57142857142857,-55.5,-56.0,-54.0,-55.22222222222222,-52.77777777777778,-62.22222222222222,0
-46.285714285714285,-47.166666666666664,-56.333333333333336,-58.5,-54.888888888888886,-56.111111111111114,-53.77777777777778,-62.22222222222222,0
-47.0,-47.0,-55.75,-55.888888888888886,-54.22222222222222,-54.888888888888886,-53.111111111111114,-61.22222222222222,0
-46.25,-46.666666666666664,-55.42857142857143,-55.8,-54.5,-55.55555555555556,-53.22222222222222,-61.5,0
-45.625,-48.0,-54.25,-54.666666666666664,-54.44444444444444,-55.22222222222222,-53.77777777777778,-62.666666666666664,0
-46.333333333333336,-47.2,-55.666666666666664,-56.25,-54.333333333333336,-55.44444444444444,-53.666666666666664,-62.22222222222222,0
-44.625,-47.5,-55.75,-55.4,-53.55555555555556,-55.111111111111114,-53.44444444444444,-62.666666666666664,0
-44.75,-47.75,-57.5,-54.5,-53.888888888888886,-55.666666666666664,-53.333333333333336,-61.888888888888886,0
-45.875,-46.857142857142854,-55.166666666666664,-54.666666666666664,-54.22222222222222,-55.666666666666664,-51.44444444444444,-62.44444444444444,0
-44.75,-47.8,-57.57142857142857,-56.6,-54.44444444444444,-55.55555555555556,-52.888888888888886,-62.333333333333336,0
-45.77777777777778,-47.166666666666664,-55.666666666666664,-55.0,-54.22222222222222,-55.22222222222222,-52.55555555555556,-62.875,0
-46.111111111111114,-47.0,-56.5,-54.333333333333336,-54.666666666666664,-55.5,-52.888888888888886,-63.0,0
-46.8,-48.0,-54.42857142857143,-54.8,-54.333333333333336,-56.666666666666664,-52.333333333333336,-61.888888888888886,0
-47.0,-47.875,-54.2,-55.166666666666664,-54.333333333333336,-55.666666666666664,-52.55555555555556,-62.111111111111114,0
-46.25,-47.333333333333336,-54.0,-54.6,-53.333333333333336,-54.55555555555556,-53.111111111111114,-62.666666666666664,0
-44.714285714285715,-47.166666666666664,-55.0,-55.0,-53.44444444444444,-54.44444444444444,-53.0,-62.44444444444444,0
-45.888888888888886,-48.4,-54.75,-54.666666666666664,-54.22222222222222,-54.333333333333336,-52.0,-60.44444444444444,0
-44.666666666666664,-48.166666666666664,-55.75,-55.5,-54.111111111111114,-54.22222222222222,-51.333333333333336,-61.666666666666664,0
-48.0,-47.833333333333336,-56.166666666666664,-56.0,-54.0,-54.111111111111114,-51.111111111111114,-62.111111111111114,0
-46.57142857142857,-47.5,-55.5,-55.0,-54.111111111111114,-54.77777777777778,-50.666666666666664,-62.77777777777778,0
-45.0,-47.375,-55.142857142857146,-55.333333333333336,-53.666666666666664,-55.111111111111114,-52.0,-62.22222222222222,0
-46.42857142857143,-47.8,-54.5,-54.4,-54.333333333333336,-55.666666666666664,-53.22222222222222,-62.22222222222222,0
-45.55555555555556,-48.25,-54.333333333333336,-55.0,-54.333333333333336,-55.666666666666664,-53.111111111111114,-62.55555555555556,0
-47.625,-47.625,-54.0,-54.0,-54.888888888888886,-55.111111111111114,-53.333333333333336,-61.77777777777778,0
-45.875,-48.333333333333336,-56.666666666666664,-56.666666666666664,-55.333333333333336,-54.55555555555556,-53.22222222222222,-62.22222222222222,0
-50.625,-47.0,-54.875,-53.625,-54.666666666666664,-53.333333333333336,-52.44444444444444,-62.55555555555556,0
-49.857142857142854,-48.0,-52.75,-54.5,-53.888888888888886,-54.111111111111114,-52.888888888888886,-62.22222222222222,0
-45.888888888888886,-46.142857142857146,-55.0,-54.714285714285715,-54.333333333333336,-53.77777777777778,-52.22222222222222,-62.111111111111114,0
-47.125,-46.125,-55.0,-54.666666666666664,-54.333333333333336,-53.666666666666664,-52.0,-62.0,0
-45.375,-46.857142857142854,-54.4,-55.0,-54.22222222222222,-53.55555555555556,-52.0,-62.0,0
-45.25,-46.25,-54.8,-54.666666666666664,-54.22222222222222,-53.666666666666664,-52.0,-62.0,0
-46.5,-48.333333333333336,-54.75,-54.333333333333336,-54.25,-53.5,-52.0,-62.0,0
-45.166666666666664,-46.0,-54.42857142857143,-54.6,-54.22222222222222,-53.44444444444444,-52.0,-62.0,0
-46.857142857142854,-45.42857142857143,-54.25,-54.333333333333336,-54.125,-53.625,-52.0,-61.75,0
-45.44444444444444,-45.6,-56.0,-56.0,-54.333333333333336,-53.77777777777778,-52.111111111111114,-61.888888888888886,0
-44.375,-44.125,-45.375,-45.166666666666664,-49.666666666666664,-52.0,-55.0,-57.333333333333336,1
-44.333333333333336,-44.375,-45.666666666666664,-45.42857142857143,-49.55555555555556,-52.0,-55.0,-57.55555555555556,1
-46.6,-43.833333333333336,-46.0,-45.5,-49.888888888888886,-52.0,-55.0,-57.44444444444444,1
-44.5,-44.142857142857146,-46.0,-45.4,-49.77777777777778,-52.0,-55.0,-57.5,1
-44.0,-44.44444444444444,-45.833333333333336,-44.0,-49.666666666666664,-52.0,-54.666666666666664,-57.333333333333336,1
-44.4,-44.142857142857146,-44.333333333333336,-46.0,-49.25,-52.0,-54.0,-57.375,1
-44.285714285714285,-44.0,-45.0,-45.666666666666664,-49.888888888888886,-52.0,-55.0,-57.22222222222222,1
-44.25,-43.888888888888886,-45.0,-46.0,-49.77777777777778,-51.888888888888886,-55.0,-57.333333333333336,1
-44.166666666666664,-44.0,-46.0,-45.166666666666664,-49.75,-52.0,-55.0,-57.125,1
-44.0,-44.125,-45.8,-42.8,-49.666666666666664,-51.77777777777778,-55.0,-57.44444444444444,1
-44.0,-44.25,-44.8,-45.666666666666664,-49.888888888888886,-51.666666666666664,,-57.333333333333336,1
