C0-56-27-1B-F3-F4,C0-56-27-1B-F3-F5,C0-56-27-18-69-64,D8-84-66-13-10-00,C0-56-27-18-69-66,C0-56-27-1B-9D-C5,loc
-43.666666666666664,-47.4,-50.0,-53.333333333333336,-55.2,-57.0,0
-43.5,-46.25,-49.6,-54.0,-54.8,-56.6,0
-43.666666666666664,-45.25,-50.2,-54.5,-55.0,-55.8,0
-43.5,-47.0,-52.6,-53.75,-54.8,-57.0,0
-44.2,-46.25,-50.0,-53.2,-54.4,-55.6,0
-45.666666666666664,-46.2,-50.6,-53.0,-54.2,-56.0,0
-43.8,-46.6,-49.6,-53.0,-55.2,-55.6,0
-45.0,-46.8,-49.0,-52.4,-55.0,-55.8,0
-45.4,-46.8,-49.0,-53.0,-55.0,-56.0,0
-44.6,-45.4,-49.0,-53.0,-55.0,-56.2,0
-43.75,-46.0,-49.0,-52.333333333333336,-55.0,-55.8,0
-43.6,-46.5,-50.8,-54.6,-55.6,-57.2,0
-43.25,-46.8,-50.75,-55.0,-54.6,-59.0,0
-42.666666666666664,-46.0,-50.8,-55.25,-54.8,-56.2,0
-41.5,-46.8,-51.0,-54.0,-55.0,-56.6,0
-42.333333333333336,-46.5,-51.0,-54.333333333333336,-55.0,-59.4,0
-42.333333333333336,-45.8,-51.2,-53.75,-55.0,-57.4,0
-44.0,-46.0,-51.4,-53.75,-55.2,-57.0,0
-44.0,-46.8,-51.0,-53.75,-55.2,-56.4,0
-45.0,-46.25,-51.4,-53.0,-54.8,-57.6,0
-44.0,-45.0,-50.4,-54.0,-54.8,-57.6,0
-44.2,-45.8,-51.2,-55.0,-55.2,-57.4,0
-44.6,-45.4,-50.2,-54.666666666666664,-55.2,-58.6,0
-44.6,-46.2,-51.8,-55.6,-54.6,-58.5,0
-44.0,-47.8,-44.6,-54.2,-58.2,-57.8,1
-43.2,-47.6,-43.2,-54.2,-61.0,-58.0,1
-43.4,-47.8,-45.75,-54.4,-61.4,-57.8,1
-43.0,-47.6,-44.0,-54.0,-61.0,-58.4,1
-43.4,-47.4,-43.6,-54.0,-61.8,-58.0,1
-43.4,-47.4,-42.6,-54.0,-60.6,-57.75,1
-43.4,-48.0,-44.666666666666664,-54.4,-61.2,-58.2,1
-43.6,-47.0,-44.8,-53.6,-58.75,-57.8,1
-42.8,-47.0,-46.0,-53.2,-57.8,-58.0,1
-43.0,-47.5,-44.6,-53.0,-58.8,-58.6,1
-43.0,-48.8,-43.6,-52.2,-59.0,-58.4,1
-42.6,-48.6,-43.0,-53.6,-57.6,-58.0,1
-42.4,-49.0,-41.8,-53.0,-59.8,-59.2,1
-43.6,-49.2,-42.2,-52.8,-57.8,-58.2,1
-44.6,-48.8,-41.6,-52.0,-57.6,-58.4,1
-42.4,-49.8,-42.4,-52.4,-58.2,-58.0,1
-43.8,-49.6,-42.6,-52.6,-59.2,-58.666666666666664,1
-43.0,-49.0,-45.25,-51.4,-58.4,-58.0,1
-43.0,-49.2,-44.4,-51.8,-58.8,-58.0,1
-43.0,-49.2,-43.2,-52.0,-59.8,-59.4,1
-43.2,-49.4,-44.25,-52.0,-60.8,-58.25,1
-43.4,-49.6,-45.25,-51.8,-62.2,-58.2,1
-43.4,-49.4,-44.6,-51.8,-61.6,-58.0,1
-43.2,-49.4,-43.6,-53.0,-60.8,-57.8,1
-30.8,-43.4,-49.8,-49.4,-51.6,-56.4,2
-31.0,-42.6,-49.25,-49.4,-50.333333333333336,-56.0,2
-34.0,-44.0,-50.2,-50.4,-49.8,-54.25,2
-30.8,-44.8,-49.8,-51.4,-49.75,-58.0,2
-31.0,-44.6,-50.0,-50.0,-51.0,-55.6,2
-31.4,-43.4,-49.0,-48.6,-49.5,-55.2,2
-31.25,-45.4,-49.75,-50.2,-50.666666666666664,-54.75,2
-28.6,-40.4,-50.6,-55.6,-51.0,-54.4,2
-33.2,-42.2,-47.333333333333336,-55.6,-48.5,-55.5,2
-31.2,-43.2,-47.0,-55.0,-47.0,-54.75,2
-34.2,-43.2,-46.75,-55.0,-47.25,-55.25,2
-31.4,-42.6,-47.0,-55.4,-47.5,-54.0,2
-32.8,-42.0,-49.0,-54.6,-49.0,-53.4,2
-31.4,-42.8,-50.0,-56.4,-50.0,-54.4,2
-32.0,-41.0,-49.0,-56.6,-49.8,-54.8,2
-32.0,-42.0,-50.0,-55.8,-50.4,-55.6,2
-30.8,-42.8,-50.2,-56.2,-50.25,-53.4,2
-31.75,-43.2,-49.8,-56.0,-50.5,-55.0,2
-31.8,-42.8,-49.8,-54.6,-50.0,-54.8,2
-32.4,-43.8,-49.666666666666664,-54.4,-50.0,-54.8,2
-31.4,-41.8,-48.6,-57.2,-48.8,-55.0,2
-33.75,-41.75,-48.5,-55.6,-48.25,-52.5,2
-32.0,-42.8,-50.333333333333336,-54.8,-49.0,-53.75,2
-31.0,-40.4,-54.0,-55.2,-53.5,-53.4,2
